state,district,period,enrolment_count
Bihar,Vaishali,2025-03,315
Bihar,Vaishali,2025-04,234
Bihar,Vaishali,2025-05,146
Bihar,Vaishali,2025-06,281
Bihar,Vaishali,2025-07,37
Bihar,Vaishali,2025-08,323
Bihar,Vaishali,2025-09,320
Bihar,Vaishali,2025-10,334
Bihar,Vaishali,2025-11,300
Bihar,Vaishali,2025-12,379
Bihar,Vaishali,NaT,6068
Bihar,West Champaran,2025-01,11983
Bihar,West Champaran,2025-02,413
Bihar,West Champaran,2025-03,368
Bihar,West Champaran,2025-04,327
Bihar,West Champaran,2025-05,146
Bihar,West Champaran,2025-06,296
Bihar,West Champaran,2025-07,101
Bihar,West Champaran,2025-08,389
Bihar,West Champaran,2025-09,368
Bihar,West Champaran,2025-10,327
Bihar,West Champaran,2025-11,251
Bihar,West Champaran,2025-12,279
Bihar,West Champaran,NaT,5726
Chandigarh,Chandigarh,2025-01,136
Chandigarh,Chandigarh,2025-02,20
Chandigarh,Chandigarh,2025-03,15
Chandigarh,Chandigarh,2025-04,34
Chandigarh,Chandigarh,2025-05,39
Chandigarh,Chandigarh,2025-06,35
Chandigarh,Chandigarh,2025-07,16
Chandigarh,Chandigarh,2025-08,45
Chandigarh,Chandigarh,2025-09,46
Chandigarh,Chandigarh,2025-10,48
Chandigarh,Chandigarh,2025-11,47
Chandigarh,Chandigarh,2025-12,36
Chandigarh,Chandigarh,NaT,692
Chandigarh,Rupnagar,NaT,1
Chhattisgarh,Balod,2025-01,17
Chhattisgarh,Balod,2025-02,35
Chhattisgarh,Balod,2025-03,23
Chhattisgarh,Balod,2025-04,13
Chhattisgarh,Balod,2025-05,14
Chhattisgarh,Balod,2025-06,24
Chhattisgarh,Balod,2025-07,1
Chhattisgarh,Balod,2025-08,49
Chhattisgarh,Balod,2025-09,38
Chhattisgarh,Balod,2025-10,31
Chhattisgarh,Balod,2025-11,23
Chhattisgarh,Balod,2025-12,30
Chhattisgarh,Balod,NaT,354
Chhattisgarh,Baloda Bazar,2025-01,616
Chhattisgarh,Baloda Bazar,2025-02,65
Chhattisgarh,Baloda Bazar,2025-03,69
Chhattisgarh,Baloda Bazar,2025-04,42
Chhattisgarh,Baloda Bazar,2025-05,12
Chhattisgarh,Baloda Bazar,2025-06,52
Chhattisgarh,Baloda Bazar,2025-07,9
Chhattisgarh,Baloda Bazar,2025-08,100
Chhattisgarh,Baloda Bazar,2025-09,97
Chhattisgarh,Baloda Bazar,2025-10,74
Chhattisgarh,Baloda Bazar,2025-11,45
Chhattisgarh,Baloda Bazar,2025-12,83
Chhattisgarh,Baloda Bazar,NaT,1079
Chhattisgarh,Balrampur,2025-01,2074
Chhattisgarh,Balrampur,2025-02,67
Chhattisgarh,Balrampur,2025-03,56
Chhattisgarh,Balrampur,2025-04,55
Chhattisgarh,Balrampur,2025-05,51
Chhattisgarh,Balrampur,2025-06,66
Chhattisgarh,Balrampur,2025-07,20
Chhattisgarh,Balrampur,2025-08,130
Chhattisgarh,Balrampur,2025-09,93
Chhattisgarh,Balrampur,2025-10,87
Chhattisgarh,Balrampur,2025-11,79
Chhattisgarh,Balrampur,2025-12,81
Chhattisgarh,Balrampur,NaT,1270
Chhattisgarh,Bastar,2025-01,51
Chhattisgarh,Bastar,2025-02,33
Chhattisgarh,Bastar,2025-03,30
Chhattisgarh,Bastar,2025-04,43
Chhattisgarh,Bastar,2025-05,10
Chhattisgarh,Bastar,2025-06,53
Chhattisgarh,Bastar,2025-07,4
Chhattisgarh,Bastar,2025-08,69
Chhattisgarh,Bastar,2025-09,71
Chhattisgarh,Bastar,2025-10,63
Chhattisgarh,Bastar,2025-11,48
Chhattisgarh,Bastar,2025-12,51
Chhattisgarh,Bastar,NaT,1586
Chhattisgarh,Bemetara,2025-01,41
Chhattisgarh,Bemetara,2025-02,32
Chhattisgarh,Bemetara,2025-03,36
Chhattisgarh,Bemetara,2025-04,28
Chhattisgarh,Bemetara,2025-05,8
Chhattisgarh,Bemetara,2025-06,31
Chhattisgarh,Bemetara,2025-07,4
Chhattisgarh,Bemetara,2025-08,51
Chhattisgarh,Bemetara,2025-09,47
Chhattisgarh,Bemetara,2025-10,51
Chhattisgarh,Bemetara,2025-11,38
Chhattisgarh,Bemetara,2025-12,39
Chhattisgarh,Bemetara,NaT,599
Chhattisgarh,Bijapur,2025-01,3316
Chhattisgarh,Bijapur,2025-02,35
Chhattisgarh,Bijapur,2025-03,12
Chhattisgarh,Bijapur,2025-04,35
Chhattisgarh,Bijapur,2025-05,21
Chhattisgarh,Bijapur,2025-06,19
Chhattisgarh,Bijapur,2025-08,48
Chhattisgarh,Bijapur,2025-09,49
Chhattisgarh,Bijapur,2025-10,18
Chhattisgarh,Bijapur,2025-11,40
Chhattisgarh,Bijapur,2025-12,69
Chhattisgarh,Bijapur,NaT,971
Chhattisgarh,Bilaspur,2025-01,1605
Chhattisgarh,Bilaspur,2025-02,218
Chhattisgarh,Bilaspur,2025-03,106
Chhattisgarh,Bilaspur,2025-04,110
Chhattisgarh,Bilaspur,2025-05,32
Chhattisgarh,Bilaspur,2025-06,113
Chhattisgarh,Bilaspur,2025-07,6
Chhattisgarh,Bilaspur,2025-08,180
Chhattisgarh,Bilaspur,2025-09,200
Chhattisgarh,Bilaspur,2025-10,144
Chhattisgarh,Bilaspur,2025-11,117
Chhattisgarh,Bilaspur,2025-12,163
Chhattisgarh,Bilaspur,NaT,1976
Chhattisgarh,Dakshin Bastar Dantewada,2025-01,8
Chhattisgarh,Dakshin Bastar Dantewada,2025-02,9
Chhattisgarh,Dakshin Bastar Dantewada,2025-03,5
Chhattisgarh,Dakshin Bastar Dantewada,2025-04,9
Chhattisgarh,Dakshin Bastar Dantewada,2025-05,5
Chhattisgarh,Dakshin Bastar Dantewada,2025-06,4
Chhattisgarh,Dakshin Bastar Dantewada,2025-08,8
Chhattisgarh,Dakshin Bastar Dantewada,2025-09,5
Chhattisgarh,Dakshin Bastar Dantewada,2025-10,5
Chhattisgarh,Dakshin Bastar Dantewada,2025-11,9
Chhattisgarh,Dakshin Bastar Dantewada,2025-12,2
Chhattisgarh,Dakshin Bastar Dantewada,NaT,153
Chhattisgarh,Dantewada,2025-01,4
Chhattisgarh,Dantewada,2025-02,5
Chhattisgarh,Dantewada,2025-03,1
Chhattisgarh,Dantewada,2025-04,5
Chhattisgarh,Dantewada,2025-05,3
Chhattisgarh,Dantewada,2025-06,8
Chhattisgarh,Dantewada,2025-08,4
Chhattisgarh,Dantewada,2025-09,5
Chhattisgarh,Dantewada,2025-10,1
Chhattisgarh,Dantewada,2025-11,3
Chhattisgarh,Dantewada,2025-12,6
Chhattisgarh,Dantewada,NaT,63
Chhattisgarh,Dhamtari,2025-01,26
Chhattisgarh,Dhamtari,2025-02,32
Chhattisgarh,Dhamtari,2025-03,58
Chhattisgarh,Dhamtari,2025-04,14
Chhattisgarh,Dhamtari,2025-05,7
Chhattisgarh,Dhamtari,2025-06,31
Chhattisgarh,Dhamtari,2025-08,27
Chhattisgarh,Dhamtari,2025-09,41
Chhattisgarh,Dhamtari,2025-10,53
Chhattisgarh,Dhamtari,2025-11,25
Chhattisgarh,Dhamtari,2025-12,28
Chhattisgarh,Dhamtari,NaT,431
Chhattisgarh,Durg,2025-01,952
Chhattisgarh,Durg,2025-02,75
Chhattisgarh,Durg,2025-03,56
Chhattisgarh,Durg,2025-04,35
Chhattisgarh,Durg,2025-05,15
Chhattisgarh,Durg,2025-06,19
Chhattisgarh,Durg,2025-07,6
Chhattisgarh,Durg,2025-08,63
Chhattisgarh,Durg,2025-09,68
Chhattisgarh,Durg,2025-10,70
Chhattisgarh,Durg,2025-11,56
Chhattisgarh,Durg,2025-12,82
Chhattisgarh,Durg,NaT,721
Chhattisgarh,Gariyaband,2025-01,33
Chhattisgarh,Gariyaband,2025-02,25
Chhattisgarh,Gariyaband,2025-03,23
Chhattisgarh,Gariyaband,2025-04,26
Chhattisgarh,Gariyaband,2025-05,2
Chhattisgarh,Gariyaband,2025-06,19
Chhattisgarh,Gariyaband,2025-08,41
Chhattisgarh,Gariyaband,2025-09,44
Chhattisgarh,Gariyaband,2025-10,24
Chhattisgarh,Gariyaband,2025-11,20
Chhattisgarh,Gariyaband,2025-12,29
Chhattisgarh,Gariyaband,NaT,377
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-01,4
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-02,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-03,7
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-04,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-05,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-07,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-08,3
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-09,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-10,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-11,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-12,2
Chhattisgarh,Gaurela-Pendra-Marwahi,NaT,44
Chhattisgarh,Gaurella Pendra Marwahi,2025-01,983
Chhattisgarh,Janjgir - Champa,2025-03,1
Chhattisgarh,Janjgir - Champa,2025-04,1
Chhattisgarh,Janjgir - Champa,2025-08,1
Chhattisgarh,Janjgir - Champa,2025-09,1
Chhattisgarh,Janjgir - Champa,2025-12,3
Chhattisgarh,Janjgir - Champa,NaT,9
Chhattisgarh,Janjgir Champa,2025-03,2
Chhattisgarh,Janjgir Champa,2025-06,2
Chhattisgarh,Janjgir Champa,2025-08,2
Chhattisgarh,Janjgir Champa,2025-11,1
Chhattisgarh,Janjgir Champa,NaT,4
Chhattisgarh,Janjgir-Champa,2025-01,104
Chhattisgarh,Janjgir-Champa,2025-02,95
Chhattisgarh,Janjgir-Champa,2025-03,63
Chhattisgarh,Janjgir-Champa,2025-04,60
Chhattisgarh,Janjgir-Champa,2025-05,13
Chhattisgarh,Janjgir-Champa,2025-06,62
Chhattisgarh,Janjgir-Champa,2025-07,14
Chhattisgarh,Janjgir-Champa,2025-08,126
Chhattisgarh,Janjgir-Champa,2025-09,110
Chhattisgarh,Janjgir-Champa,2025-10,94
Chhattisgarh,Janjgir-Champa,2025-11,62
Chhattisgarh,Janjgir-Champa,2025-12,118
Chhattisgarh,Janjgir-Champa,NaT,1169
Chhattisgarh,Jashpur,2025-01,44
Chhattisgarh,Jashpur,2025-02,30
Chhattisgarh,Jashpur,2025-03,31
Chhattisgarh,Jashpur,2025-04,4
Chhattisgarh,Jashpur,2025-05,4
Chhattisgarh,Jashpur,2025-06,22
Chhattisgarh,Jashpur,2025-08,31
Chhattisgarh,Jashpur,2025-09,71
Chhattisgarh,Jashpur,2025-10,17
Chhattisgarh,Jashpur,2025-11,41
Chhattisgarh,Jashpur,2025-12,51
Chhattisgarh,Jashpur,NaT,573
Chhattisgarh,Kabeerdham,2025-01,11
Chhattisgarh,Kabeerdham,2025-02,15
Chhattisgarh,Kabeerdham,2025-03,11
Chhattisgarh,Kabeerdham,2025-04,13
Chhattisgarh,Kabeerdham,2025-05,6
Chhattisgarh,Kabeerdham,2025-06,9
Chhattisgarh,Kabeerdham,2025-07,4
Chhattisgarh,Kabeerdham,2025-08,15
Chhattisgarh,Kabeerdham,2025-09,21
Chhattisgarh,Kabeerdham,2025-10,19
Chhattisgarh,Kabeerdham,2025-11,9
Chhattisgarh,Kabeerdham,2025-12,19
Chhattisgarh,Kabeerdham,NaT,246
Chhattisgarh,Kanker,2025-01,8
Chhattisgarh,Kanker,2025-02,18
Chhattisgarh,Kanker,2025-03,43
Chhattisgarh,Kanker,2025-04,35
Chhattisgarh,Kanker,2025-05,7
Chhattisgarh,Kanker,2025-06,40
Chhattisgarh,Kanker,2025-08,31
Chhattisgarh,Kanker,2025-09,30
Chhattisgarh,Kanker,2025-10,27
Chhattisgarh,Kanker,2025-11,21
Chhattisgarh,Kanker,2025-12,43
Chhattisgarh,Kanker,NaT,459
Chhattisgarh,Kawardha,2025-01,24
Chhattisgarh,Kawardha,2025-02,34
Chhattisgarh,Kawardha,2025-03,24
Chhattisgarh,Kawardha,2025-04,26
Chhattisgarh,Kawardha,2025-05,15
Chhattisgarh,Kawardha,2025-06,27
Chhattisgarh,Kawardha,2025-07,1
Chhattisgarh,Kawardha,2025-08,31
Chhattisgarh,Kawardha,2025-09,51
Chhattisgarh,Kawardha,2025-10,40
Chhattisgarh,Kawardha,2025-11,28
Chhattisgarh,Kawardha,2025-12,32
Chhattisgarh,Kawardha,NaT,570
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-01,2
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-02,2
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-03,7
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-04,1
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-06,2
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-08,4
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09,1
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10,4
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11,2
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12,2
Chhattisgarh,Khairagarh Chhuikhadan Gandai,NaT,58
Chhattisgarh,Kondagaon,2025-01,12
Chhattisgarh,Kondagaon,2025-02,13
Chhattisgarh,Kondagaon,2025-03,19
Chhattisgarh,Kondagaon,2025-04,48
Chhattisgarh,Kondagaon,2025-05,10
Chhattisgarh,Kondagaon,2025-06,52
Chhattisgarh,Kondagaon,2025-07,7
Chhattisgarh,Kondagaon,2025-08,43
Chhattisgarh,Kondagaon,2025-09,55
Chhattisgarh,Kondagaon,2025-10,79
Chhattisgarh,Kondagaon,2025-11,39
Chhattisgarh,Kondagaon,2025-12,60
Chhattisgarh,Kondagaon,NaT,809
Chhattisgarh,Korba,2025-01,72
Chhattisgarh,Korba,2025-02,60
Chhattisgarh,Korba,2025-03,78
Chhattisgarh,Korba,2025-04,21
Chhattisgarh,Korba,2025-05,13
Chhattisgarh,Korba,2025-06,55
Chhattisgarh,Korba,2025-07,6
Chhattisgarh,Korba,2025-08,90
Chhattisgarh,Korba,2025-09,82
Chhattisgarh,Korba,2025-10,84
Chhattisgarh,Korba,2025-11,57
Chhattisgarh,Korba,2025-12,87
Chhattisgarh,Korba,NaT,1048
Chhattisgarh,Koriya,2025-01,32
Chhattisgarh,Koriya,2025-02,36
Chhattisgarh,Koriya,2025-03,27
Chhattisgarh,Koriya,2025-04,6
Chhattisgarh,Koriya,2025-05,5
Chhattisgarh,Koriya,2025-06,8
Chhattisgarh,Koriya,2025-08,44
Chhattisgarh,Koriya,2025-09,41
Chhattisgarh,Koriya,2025-10,36
Chhattisgarh,Koriya,2025-11,33
Chhattisgarh,Koriya,2025-12,62
Chhattisgarh,Koriya,NaT,464
Chhattisgarh,Mahasamund,2025-01,78
Chhattisgarh,Mahasamund,2025-02,49
Chhattisgarh,Mahasamund,2025-03,74
Chhattisgarh,Mahasamund,2025-04,51
Chhattisgarh,Mahasamund,2025-05,12
Chhattisgarh,Mahasamund,2025-06,26
Chhattisgarh,Mahasamund,2025-07,11
Chhattisgarh,Mahasamund,2025-08,47
Chhattisgarh,Mahasamund,2025-09,71
Chhattisgarh,Mahasamund,2025-10,75
Chhattisgarh,Mahasamund,2025-11,67
Chhattisgarh,Mahasamund,2025-12,63
Chhattisgarh,Mahasamund,NaT,956
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-01,9
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-02,6
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-03,6
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-05,1
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-06,2
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-08,7
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-09,6
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-10,1
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-11,7
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12,3
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,NaT,87
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-11,1
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-01,1
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-02,3
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-03,4
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-04,3
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-06,2
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-08,8
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-09,9
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-10,6
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-11,3
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-12,5
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,NaT,60
Chhattisgarh,Mungeli,2025-01,56
Chhattisgarh,Mungeli,2025-02,45
Chhattisgarh,Mungeli,2025-03,30
Chhattisgarh,Mungeli,2025-04,23
Chhattisgarh,Mungeli,2025-05,28
Chhattisgarh,Mungeli,2025-06,33
Chhattisgarh,Mungeli,2025-07,6
Chhattisgarh,Mungeli,2025-08,51
Chhattisgarh,Mungeli,2025-09,86
Chhattisgarh,Mungeli,2025-10,43
Chhattisgarh,Mungeli,2025-11,48
Chhattisgarh,Mungeli,2025-12,57
Chhattisgarh,Mungeli,NaT,751
Chhattisgarh,Narayanpur,2025-01,15
Chhattisgarh,Narayanpur,2025-02,10
Chhattisgarh,Narayanpur,2025-03,9
Chhattisgarh,Narayanpur,2025-04,5
Chhattisgarh,Narayanpur,2025-05,11
Chhattisgarh,Narayanpur,2025-06,7
Chhattisgarh,Narayanpur,2025-08,14
Chhattisgarh,Narayanpur,2025-09,13
Chhattisgarh,Narayanpur,2025-10,11
Chhattisgarh,Narayanpur,2025-11,5
Chhattisgarh,Narayanpur,2025-12,12
Chhattisgarh,Narayanpur,NaT,208
Chhattisgarh,Raigarh,2025-01,1583
Chhattisgarh,Raigarh,2025-02,75
Chhattisgarh,Raigarh,2025-03,101
Chhattisgarh,Raigarh,2025-04,39
Chhattisgarh,Raigarh,2025-05,44
Chhattisgarh,Raigarh,2025-06,71
Chhattisgarh,Raigarh,2025-07,48
Chhattisgarh,Raigarh,2025-08,114
Chhattisgarh,Raigarh,2025-09,106
Chhattisgarh,Raigarh,2025-10,69
Chhattisgarh,Raigarh,2025-11,62
Chhattisgarh,Raigarh,2025-12,61
Chhattisgarh,Raigarh,NaT,981
Chhattisgarh,Raipur,2025-01,409
Chhattisgarh,Raipur,2025-02,92
Chhattisgarh,Raipur,2025-03,77
Chhattisgarh,Raipur,2025-04,99
Chhattisgarh,Raipur,2025-05,58
Chhattisgarh,Raipur,2025-06,106
Chhattisgarh,Raipur,2025-07,20
Chhattisgarh,Raipur,2025-08,105
Chhattisgarh,Raipur,2025-09,139
Chhattisgarh,Raipur,2025-10,120
Chhattisgarh,Raipur,2025-11,94
Chhattisgarh,Raipur,2025-12,135
Chhattisgarh,Raipur,NaT,1745
Chhattisgarh,Rajnandgaon,2025-01,40
Chhattisgarh,Rajnandgaon,2025-02,93
Chhattisgarh,Rajnandgaon,2025-03,79
Chhattisgarh,Rajnandgaon,2025-04,61
Chhattisgarh,Rajnandgaon,2025-05,9
Chhattisgarh,Rajnandgaon,2025-06,39
Chhattisgarh,Rajnandgaon,2025-07,1
Chhattisgarh,Rajnandgaon,2025-08,70
Chhattisgarh,Rajnandgaon,2025-09,78
Chhattisgarh,Rajnandgaon,2025-10,61
Chhattisgarh,Rajnandgaon,2025-11,49
Chhattisgarh,Rajnandgaon,2025-12,48
Chhattisgarh,Rajnandgaon,NaT,958
Chhattisgarh,Sakti,2025-01,14
Chhattisgarh,Sakti,2025-02,6
Chhattisgarh,Sakti,2025-03,3
Chhattisgarh,Sakti,2025-04,10
Chhattisgarh,Sakti,2025-06,8
Chhattisgarh,Sakti,2025-08,16
Chhattisgarh,Sakti,2025-09,17
Chhattisgarh,Sakti,2025-10,14
Chhattisgarh,Sakti,2025-11,9
Chhattisgarh,Sakti,2025-12,5
Chhattisgarh,Sakti,NaT,118
Chhattisgarh,Sarangarh-Bilaigarh,2025-01,1
Chhattisgarh,Sarangarh-Bilaigarh,2025-03,1
Chhattisgarh,Sarangarh-Bilaigarh,2025-06,1
Chhattisgarh,Sarangarh-Bilaigarh,2025-08,2
Chhattisgarh,Sarangarh-Bilaigarh,2025-09,2
Chhattisgarh,Sarangarh-Bilaigarh,2025-10,1
Chhattisgarh,Sarangarh-Bilaigarh,2025-12,2
Chhattisgarh,Sarangarh-Bilaigarh,NaT,37
Chhattisgarh,Sukma,2025-01,1011
Chhattisgarh,Sukma,2025-02,19
Chhattisgarh,Sukma,2025-03,11
Chhattisgarh,Sukma,2025-04,9
Chhattisgarh,Sukma,2025-05,16
Chhattisgarh,Sukma,2025-06,15
Chhattisgarh,Sukma,2025-08,22
Chhattisgarh,Sukma,2025-09,19
Chhattisgarh,Sukma,2025-10,11
Chhattisgarh,Sukma,2025-11,9
Chhattisgarh,Sukma,2025-12,15
Chhattisgarh,Sukma,NaT,270
Chhattisgarh,Surajpur,2025-01,49
Chhattisgarh,Surajpur,2025-02,43
Chhattisgarh,Surajpur,2025-03,29
Chhattisgarh,Surajpur,2025-04,15
Chhattisgarh,Surajpur,2025-05,10
Chhattisgarh,Surajpur,2025-06,46
Chhattisgarh,Surajpur,2025-08,62
Chhattisgarh,Surajpur,2025-09,81
Chhattisgarh,Surajpur,2025-10,67
Chhattisgarh,Surajpur,2025-11,45
Chhattisgarh,Surajpur,2025-12,71
Chhattisgarh,Surajpur,NaT,789
Chhattisgarh,Surguja,2025-01,74
Chhattisgarh,Surguja,2025-02,46
Chhattisgarh,Surguja,2025-03,43
Chhattisgarh,Surguja,2025-04,33
Chhattisgarh,Surguja,2025-05,21
Chhattisgarh,Surguja,2025-06,50
Chhattisgarh,Surguja,2025-07,4
Chhattisgarh,Surguja,2025-08,76
Chhattisgarh,Surguja,2025-09,85
Chhattisgarh,Surguja,2025-10,65
Chhattisgarh,Surguja,2025-11,87
Chhattisgarh,Surguja,2025-12,82
Chhattisgarh,Surguja,NaT,1062
Chhattisgarh,Uttar Bastar Kanker,2025-02,10
Chhattisgarh,Uttar Bastar Kanker,2025-03,16
Chhattisgarh,Uttar Bastar Kanker,2025-04,10
Chhattisgarh,Uttar Bastar Kanker,2025-05,3
Chhattisgarh,Uttar Bastar Kanker,2025-06,15
Chhattisgarh,Uttar Bastar Kanker,2025-08,16
Chhattisgarh,Uttar Bastar Kanker,2025-09,18
Chhattisgarh,Uttar Bastar Kanker,2025-10,10
Chhattisgarh,Uttar Bastar Kanker,2025-11,9
Chhattisgarh,Uttar Bastar Kanker,2025-12,11
Chhattisgarh,Uttar Bastar Kanker,NaT,237
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-01,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-02,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-03,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-05,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-06,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-08,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10,1
Dadra & Nagar Haveli,Dadra & Nagar Haveli,NaT,5
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-01,16
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-02,16
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-03,21
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-04,7
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-05,2
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-06,2
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-08,19
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-09,25
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-10,17
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-11,30
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-12,19
Dadra And Nagar Haveli,Dadra And Nagar Haveli,NaT,262
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-01,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-03,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-04,3
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-05,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-06,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-08,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-09,6
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-10,2
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-11,2
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-12,4
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,NaT,23
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-02,1
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-03,2
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-08,2
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-10,2
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-11,2
Dadra And Nagar Haveli And Daman And Diu,Daman,NaT,18
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-03,1
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-09,1
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-11,3
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-12,1
Dadra And Nagar Haveli And Daman And Diu,Diu,NaT,4
Daman & Diu,Daman,2025-04,1
Daman & Diu,Daman,NaT,2
Daman & Diu,Diu,2025-02,1
Daman & Diu,Diu,2025-12,2
Daman & Diu,Diu,NaT,5
Daman And Diu,Daman,2025-01,3
Daman And Diu,Daman,2025-02,1
Daman And Diu,Daman,2025-03,1
Daman And Diu,Daman,2025-09,1
Daman And Diu,Daman,2025-11,2
Daman And Diu,Daman,NaT,14
Daman And Diu,Diu,2025-08,1
Daman And Diu,Diu,2025-09,3
Daman And Diu,Diu,2025-12,2
Daman And Diu,Diu,NaT,14
Delhi,Central Delhi,2025-01,1861
Delhi,Central Delhi,2025-02,35
Delhi,Central Delhi,2025-03,25
Delhi,Central Delhi,2025-04,25
Delhi,Central Delhi,2025-05,7
Delhi,Central Delhi,2025-06,33
Delhi,Central Delhi,2025-07,7
Delhi,Central Delhi,2025-08,43
Delhi,Central Delhi,2025-09,37
Delhi,Central Delhi,2025-10,44
Delhi,Central Delhi,2025-11,29
Delhi,Central Delhi,2025-12,40
Delhi,Central Delhi,NaT,583
Delhi,East Delhi,2025-01,5239
Delhi,East Delhi,2025-02,105
Delhi,East Delhi,2025-03,83
Delhi,East Delhi,2025-04,103
Delhi,East Delhi,2025-05,59
Delhi,East Delhi,2025-06,94
Delhi,East Delhi,2025-07,48
Delhi,East Delhi,2025-08,103
Delhi,East Delhi,2025-09,93
Delhi,East Delhi,2025-10,100
Delhi,East Delhi,2025-11,83
